ticks
Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
2023-07-06,The Prow - left face,V3,,https://www.mountainproject.com/route/121351604/the-prow-left-face,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > Little Presque Isle,3.5,3,Flash,,Boulder,V3,9,20300
2023-07-06,"Joe’s Roof Area - Pocket Boulder, aka Slap the Dough",V3+,"Shoeless, shallow water solo. Starting foot was wet",https://www.mountainproject.com/route/118868609/joes-roof-area-pocket-boulder-aka-slap-the-dough,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > Little Presque Isle,3.5,3,Send,,Boulder,V3,8,20310
2023-06-27,Sap Temple,V4,,https://www.mountainproject.com/route/124025241/sap-temple,1,Michigan > Upper Peninsula > Copper Country > Cliff Dr.,3.0,3,Send,,Boulder,,7,20400
2023-06-10,Schoolhouse Ridge,5.4,,https://www.mountainproject.com/route/119709972/schoolhouse-ridge,1,Michigan > Upper Peninsula > Marquette (and Central UP) Roped > 550 Roped > Sugarloaf Mtn Roped > Sunset Gully,2.4,-1,Solo,,"Sport, TR",,50,1400
2023-05-29,Hueco the Dog,5.4,,https://www.mountainproject.com/route/121244715/hueco-the-dog,1,Michigan > Upper Peninsula > Marquette (and Central UP) Roped > 550 Roped > Sugarloaf Mtn Roped > Sunset Gully,2.3,-1,Solo,,Sport,,35,1400
2023-05-27,Compound Berries,V5-6,First move is morpho. Probs two diff betas depending on size ,https://www.mountainproject.com/route/120611954/compound-berries,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > Slugg’s Bluff Bouldering,1.5,1,Send,,Boulder,V5,10,20550
2023-05-24,Rail Traverse,V5-6,Nice crimp endurance problem if your willing to do a traverse…,https://www.mountainproject.com/route/124314019/rail-traverse,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Harlow Lake Pathway > Pathway Palisades,3.0,3,Send,,Boulder,V5-6,15,20550
2023-05-18,Sim Simma,V5-6,,https://www.mountainproject.com/route/118913830/sim-simma,1,Michigan > Upper Peninsula > Old 41 boulders > Boulder #2,3.0,2,Send,,Boulder,V5-,13,20550
2023-05-16,Enter Sandman,V4,Warm up for the sit start ,https://www.mountainproject.com/route/120522038/enter-sandman,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Wetmore Pond Trailhead > Lily Pond > The Dream,3.5,4,Send,,Boulder,V4,12,20400
2023-05-16,Mr. Sandman,V7-8,Sick!,https://www.mountainproject.com/route/120521935/mr-sandman,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Wetmore Pond Trailhead > Lily Pond > The Dream,4.0,4,Send,,Boulder,V7,16,20750
2023-05-13,Big League Chew,V5,This one was a struggle for some reason until it clicked and felt easy. Surprisingly fun ,https://www.mountainproject.com/route/118938400/big-league-chew,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Wetmore Pond Trailhead > Lily Pond > Swamp Side,3.0,3,Send,,Boulder,V5,10,20500
2023-05-11,Xylose,V6+,FA?,https://www.mountainproject.com/route/119333104/xylose,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Wetmore Landing > Sugar Bowl Bouldering,2.5,2,Send,,Boulder,V4-5,8,20610
2023-05-11,Galactose,V4,Fun ,https://www.mountainproject.com/route/119332900/galactose,1,Michigan > Upper Peninsula > Marquette (and Central UP) Bouldering > 550 Bouldering > Wetmore Landing > Sugar Bowl Bouldering,2.0,2,Send,,Boulder,V4,8,20400
2023-05-09,Sweet Mossy Moses,V4,,https://www.mountainproject.com/route/122578328/sweet-mossy-moses,1,Michigan > Upper Peninsula > Copper Country > Cliff Dr.,3.7,4,Send,,Boulder,V3-4,10,20400
2023-05-08,Sooper Trooper,V5,Fun slopers ,https://www.mountainproject.com/route/122233980/sooper-trooper,1,Michigan > Upper Peninsula > Copper Country > Cliff Dr.,2.3,3,Send,,Boulder,V5,,20500
2023-05-03,V5 boulder,V5,3 hound roof,https://www.mountainproject.com/route/112232357/v5-boulder,1,* In Progress > Generic Area,2.9,-1,Flash,,Boulder,,,20500
2023-05-03,Shadow of a Man,V5,,https://www.mountainproject.com/route/108312154/shadow-of-a-man,1,Illinois > *The Holy Boulders > F: Shadow of a Man Area,3.8,4,Send,,Boulder,,15,20500
2023-04-09,The Hobbit Hole,V6,,https://www.mountainproject.com/route/118052761/the-hobbit-hole,1,Indiana > Muscatatuck Park > Pink Boulder,2.1,1,Send,,Boulder,,4,20600
2023-04-09,The Heelmaster,V6,First move is nails if you’re tall/lanky ,https://www.mountainproject.com/route/120374531/the-heelmaster,1,Indiana > Muscatatuck Park > Pink Boulder,2.8,2,Send,,Boulder,V6,,20600
2023-04-09,Philosophy,V5,Nice one ,https://www.mountainproject.com/route/121724642/philosophy,1,Indiana > Muscatatuck Park > Tangerine Wall,3.2,3,Send,,Boulder,,15,20500
2023-04-07,The Spider,V4,"Incorrect date. Sent at some point while working Ivy League, and during Ivy League send I suppose?",https://www.mountainproject.com/route/106169494/the-spider,1,Indiana > Muscatatuck Park > Tangerine Wall,2.4,-1,Send,,Boulder,,15,20400
2023-04-07,Steele Breeze,V6,Finally. Sick!!,https://www.mountainproject.com/route/121731168/steele-breeze,1,Indiana > Muscatatuck Park > Strawberry Fields,4.0,4,Send,,Boulder,V6,10,20600
2023-04-07,Corn Fields,V4,,https://www.mountainproject.com/route/123272154/corn-fields,1,Indiana > Muscatatuck Park > Strawberry Fields,2.0,-1,Flash,,Boulder,V4,15,20400
2023-04-07,23 Enigma,V5,Contrived start. Low start (tola) looks mega ,https://www.mountainproject.com/route/121455788/23-enigma,1,Indiana > Muscatatuck Park > Strawberry Fields,3.0,-1,Send,,Boulder,,,20500
2023-04-07,Johnny's Lunge,V4,,https://www.mountainproject.com/route/110006169/johnnys-lunge,1,Indiana > Muscatatuck Park > Heinousness Wall,2.6,-1,Send,,Boulder,,15,20400
